city name,country,latitude,longitude
Sydney,Australia,-33.865,151.2094
Melbourne,Australia,-37.8136,144.9631
Brisbane,Australia,-27.4678,153.0281
Perth,Australia,-31.9522,115.8589
Canberra,Australia,-35.2931,149.1269
Hobart,Australia,-42.8806,147.325
Townsville,Australia,-19.2564,146.8183
Cairns,Australia,-16.9303,145.7703
Darwin,Australia,-12.4381,130.8411
Coffs Harbour,Australia,-30.3022,153.1189
Wagga Wagga,Australia,-35.1189,147.3689
Mildura,Australia,-34.1889,142.1583
Mount Gambier,Australia,-37.8294,140.7828
Alice Springs,Australia,-23.7,133.8667
Sale,Australia,-38.1,147.0667
Portland,Australia,-38.3333,141.6
Moree,Australia,-29.465,149.8344
Nuriootpa,Australia,-34.4667,138.9833
Woomera,Australia,-31.1496,136.8
